Frequency (Hz)	Level (dB)
0.125000	-31.869825
0.250000	-69.132950
0.375000	-69.121468
0.500000	-86.500237
0.625000	-74.654091
0.750000	-65.575989
0.875000	-62.435364
1.000000	-61.759373
1.125000	-61.473633
1.250000	-63.066616
1.375000	-59.907448
1.500000	-61.944401
1.625000	-72.835968
1.750000	-74.551582
1.875000	-72.952957
2.000000	-67.876328
2.125000	-63.567783
2.250000	-66.143646
2.375000	-69.071701
2.500000	-68.236595
2.625000	-64.414749
2.750000	-62.341812
2.875000	-63.783325
3.000000	-63.481922
3.125000	-64.592957
3.250000	-68.469521
3.375000	-69.750153
3.500000	-62.651543
3.625000	-63.433319
3.750000	-72.053917
3.875000	-69.465729
4.000000	-65.379204
4.125000	-58.755543
4.250000	-61.665333
4.375000	-67.071976
4.500000	-69.798088
4.625000	-73.660721
4.750000	-59.593533
4.875000	-56.733578
5.000000	-58.118435
5.125000	-65.917130
5.250000	-76.255325
5.375000	-61.715424
5.500000	-57.671898
5.625000	-61.391514
5.750000	-62.333401
5.875000	-64.099220
6.000000	-78.562828
6.125000	-70.968658
6.250000	-69.391212
6.375000	-74.492058
6.500000	-66.737808
6.625000	-65.318581
6.750000	-72.274216
6.875000	-71.950562
7.000000	-67.333992
7.125000	-63.512119
7.250000	-64.889488
7.375000	-66.485313
7.500000	-61.572636
7.625000	-60.599697
7.750000	-63.150772
7.875000	-66.635345
8.000000	-68.772545
8.125000	-70.971474
8.250000	-69.072906
8.375000	-66.576294
8.500000	-71.440567
8.625000	-70.200455
8.750000	-70.808304
8.875000	-81.863472
9.000000	-71.829254
9.125000	-72.924667
9.250000	-77.708351
9.375000	-77.438751
9.500000	-70.233154
9.625000	-66.567497
9.750000	-70.201828
9.875000	-80.250397
10.000000	-75.117928
10.125000	-78.496796
10.250000	-67.478203
10.375000	-64.907845
10.500000	-65.372833
10.625000	-72.693665
10.750000	-78.116295
10.875000	-67.565659
11.000000	-66.739098
11.125000	-78.619835
11.250000	-76.731361
11.375000	-66.134727
11.500000	-63.380466
11.625000	-70.315872
11.750000	-68.294052
11.875000	-71.307983
12.000000	-76.813972
12.125000	-70.990234
12.250000	-67.582024
12.375000	-68.439758
12.500000	-72.531784
12.625000	-69.027763
12.750000	-70.580292
12.875000	-67.424507
13.000000	-66.724152
13.125000	-68.196777
13.250000	-68.261620
13.375000	-69.197739
13.500000	-68.403557
13.625000	-75.669441
13.750000	-70.622742
13.875000	-66.608025
14.000000	-66.358536
14.125000	-66.564766
14.250000	-69.201820
14.375000	-77.913193
14.500000	-86.946518
14.625000	-84.218079
14.750000	-67.586197
14.875000	-61.040459
15.000000	-62.945511
15.125000	-72.518120
15.250000	-74.633919
15.375000	-79.620453
15.500000	-76.664368
15.625000	-84.200790
15.750000	-71.237221
15.875000	-70.147820
16.000000	-68.734169
16.125000	-68.553185
16.250000	-86.144142
16.375000	-85.910049
16.500000	-73.455482
16.625000	-67.484039
16.750000	-74.871208
16.875000	-70.636604
17.000000	-69.350914
17.125000	-72.122742
17.250000	-77.456398
17.375000	-81.254623
17.500000	-90.598114
17.625000	-81.024757
17.750000	-74.802689
17.875000	-72.364204
18.000000	-72.334053
18.125000	-71.753975
18.250000	-69.885513
18.375000	-75.571602
18.500000	-72.691956
18.625000	-67.852783
18.750000	-71.258392
18.875000	-67.643188
19.000000	-70.589920
19.125000	-72.730438
19.250000	-69.517006
19.375000	-69.586243
19.500000	-68.106308
19.625000	-83.610764
19.750000	-67.192322
19.875000	-65.988342
20.000000	-69.724716
20.125000	-65.295006
20.250000	-65.471512
20.375000	-69.978027
20.500000	-74.820160
20.625000	-80.349922
20.750000	-73.567398
20.875000	-69.622253
21.000000	-74.347000
21.125000	-77.171661
21.250000	-70.612366
21.375000	-71.986237
21.500000	-70.224472
21.625000	-70.247894
21.750000	-73.309669
21.875000	-74.115662
22.000000	-74.650635
22.125000	-79.400551
22.250000	-72.026978
22.375000	-68.712959
22.500000	-77.266533
22.625000	-76.909683
22.750000	-67.163879
22.875000	-72.919624
23.000000	-71.631279
23.125000	-68.839882
23.250000	-77.032425
23.375000	-81.296333
23.500000	-71.461487
23.625000	-66.684174
23.750000	-72.300766
23.875000	-70.540695
24.000000	-69.719025
24.125000	-73.038300
24.250000	-77.342422
24.375000	-67.030548
24.500000	-69.039742
24.625000	-73.880424
24.750000	-68.536171
24.875000	-73.736237
25.000000	-89.029732
25.125000	-75.941811
25.250000	-74.495613
25.375000	-83.113876
25.500000	-72.196442
25.625000	-79.828598
25.750000	-71.599777
25.875000	-71.318039
26.000000	-77.868515
26.125000	-82.911652
26.250000	-70.719978
26.375000	-67.373550
