Frequency (Hz)	Level (dB)
0.125000	-31.943451
0.250000	-81.663315
0.375000	-67.499207
0.500000	-74.904648
0.625000	-74.157784
0.750000	-67.954475
0.875000	-62.600708
1.000000	-65.841881
1.125000	-68.794037
1.250000	-68.459595
1.375000	-75.621284
1.500000	-63.129826
1.625000	-63.284512
1.750000	-62.254162
1.875000	-66.813782
2.000000	-62.981564
2.125000	-60.896084
2.250000	-63.210510
2.375000	-75.180214
2.500000	-63.082890
2.625000	-60.254238
2.750000	-61.615215
2.875000	-66.036453
3.000000	-71.428879
3.125000	-75.272026
3.250000	-74.328415
3.375000	-71.686699
3.500000	-98.141541
3.625000	-65.108574
3.750000	-67.856255
3.875000	-65.189751
4.000000	-58.669930
4.125000	-61.549572
4.250000	-61.977139
4.375000	-69.550575
4.500000	-89.483673
4.625000	-76.575661
4.750000	-87.349121
4.875000	-73.990608
5.000000	-66.285995
5.125000	-64.881165
5.250000	-62.149323
5.375000	-65.521797
5.500000	-71.384583
5.625000	-65.607330
5.750000	-63.652004
5.875000	-61.420494
6.000000	-60.707500
6.125000	-62.054760
6.250000	-65.865608
6.375000	-67.613060
6.500000	-76.442078
6.625000	-75.580322
6.750000	-70.020088
6.875000	-67.187012
7.000000	-75.180557
7.125000	-73.624863
7.250000	-69.487190
7.375000	-70.569580
7.500000	-70.168465
7.625000	-71.447815
7.750000	-72.258347
7.875000	-67.189056
8.000000	-63.701778
8.125000	-63.570045
8.250000	-66.761101
8.375000	-70.458115
8.500000	-72.729813
8.625000	-71.121010
8.750000	-66.412056
8.875000	-79.376305
9.000000	-78.383408
9.125000	-75.822937
9.250000	-72.109436
9.375000	-79.703819
9.500000	-69.019096
9.625000	-63.803581
9.750000	-71.353424
9.875000	-64.588615
10.000000	-64.126328
10.125000	-59.243168
10.250000	-54.665901
10.375000	-52.443844
10.500000	-44.223225
10.625000	-35.178123
10.750000	-19.844263
10.875000	-3.095939
11.000000	-1.700266
11.125000	-13.364669
11.250000	-32.336853
11.375000	-42.768902
11.500000	-49.123314
11.625000	-55.553574
11.750000	-58.426994
11.875000	-65.685089
12.000000	-64.100578
12.125000	-66.833008
12.250000	-75.047760
12.375000	-62.222183
12.500000	-67.377228
12.625000	-75.964264
12.750000	-73.831078
12.875000	-77.953728
13.000000	-68.966347
13.125000	-74.023262
13.250000	-73.757065
13.375000	-70.920036
13.500000	-78.274429
13.625000	-76.176407
13.750000	-69.730385
13.875000	-74.069778
14.000000	-70.404152
14.125000	-67.918488
14.250000	-75.680351
14.375000	-68.376167
14.500000	-75.287277
14.625000	-76.879494
14.750000	-75.220978
14.875000	-69.526924
15.000000	-66.098969
15.125000	-66.533562
15.250000	-72.389824
15.375000	-81.766129
15.500000	-72.035706
15.625000	-71.212929
15.750000	-80.792023
15.875000	-69.258125
16.000000	-68.879379
16.125000	-97.245834
16.250000	-69.482018
16.375000	-71.616852
16.500000	-71.157715
16.625000	-67.907501
16.750000	-69.651360
16.875000	-70.723061
17.000000	-75.519295
17.125000	-87.326950
17.250000	-72.646797
17.375000	-71.029579
17.500000	-72.777466
17.625000	-74.232323
17.750000	-75.617134
17.875000	-69.692024
18.000000	-72.476761
18.125000	-71.989372
18.250000	-67.077797
18.375000	-74.912865
18.500000	-73.150185
18.625000	-69.490303
18.750000	-67.319191
18.875000	-68.065269
19.000000	-80.604599
19.125000	-73.720169
19.250000	-75.599365
19.375000	-67.289948
19.500000	-69.649521
19.625000	-69.047447
19.750000	-68.402153
19.875000	-79.379082
20.000000	-76.948593
20.125000	-77.538239
20.250000	-74.908058
20.375000	-73.867264
20.500000	-73.503380
20.625000	-69.763969
20.750000	-70.386986
20.875000	-76.183502
21.000000	-77.603050
21.125000	-68.708252
21.250000	-73.708099
21.375000	-82.300621
21.500000	-67.420425
21.625000	-68.094215
21.750000	-43.681305
21.875000	-34.226974
22.000000	-37.376553
22.125000	-60.264999
22.250000	-79.390091
22.375000	-72.594940
22.500000	-96.595963
22.625000	-70.674072
22.750000	-67.811714
22.875000	-74.679573
23.000000	-81.100204
23.125000	-70.208130
23.250000	-68.350143
23.375000	-89.292702
23.500000	-78.636787
23.625000	-78.045738
23.750000	-74.927361
23.875000	-71.299828
24.000000	-68.761871
24.125000	-65.812759
24.250000	-67.903702
24.375000	-78.362473
24.500000	-74.110344
24.625000	-94.421242
24.750000	-80.205421
24.875000	-83.332664
25.000000	-84.508598
25.125000	-79.768524
25.250000	-71.196121
25.375000	-69.189667
25.500000	-71.900726
25.625000	-72.145531
25.750000	-69.762627
25.875000	-69.709839
26.000000	-70.592812
26.125000	-79.064217
26.250000	-81.931915
26.375000	-71.687057
26.500000	-87.356056
26.625000	-70.841873
26.750000	-69.978836
26.875000	-72.741722
27.000000	-80.563835
27.125000	-73.185860
27.250000	-71.103493
27.375000	-68.406639
27.500000	-77.410011
27.625000	-75.406998
27.750000	-71.791588
27.875000	-77.653099
28.000000	-77.632057
28.125000	-85.474281
28.250000	-72.831306
28.375000	-70.335976
28.500000	-73.028641
28.625000	-85.019127
28.750000	-78.192131
28.875000	-78.903091
29.000000	-85.136604
29.125000	-78.227638
29.250000	-71.295189
29.375000	-75.407654
29.500000	-71.205482
29.625000	-69.731293
29.750000	-81.566925
29.875000	-78.846024
30.000000	-80.103058
30.125000	-73.492500
30.250000	-86.243225
30.375000	-74.154724
30.500000	-81.961823
30.625000	-76.225235
30.750000	-69.514984
30.875000	-72.513985
31.000000	-80.650192
31.125000	-75.514862
31.250000	-82.277306
31.375000	-72.947365
31.500000	-68.313705
31.625000	-72.012840
31.750000	-72.814743
31.875000	-68.837204
32.000000	-69.506477
32.125000	-75.107780
32.250000	-71.775040
32.375000	-75.233994
32.500000	-69.249329
32.625000	-64.334236
32.750000	-40.730171
32.875000	-36.479946
33.000000	-44.507164
33.125000	-70.778831
33.250000	-67.823280
33.375000	-78.026070
33.500000	-88.211601
33.625000	-77.013977
33.750000	-72.435486
33.875000	-71.893433
34.000000	-91.452965
34.125000	-69.604736
34.250000	-72.935692
34.375000	-86.571068
34.500000	-80.655495
34.625000	-72.926865
34.750000	-71.249306
34.875000	-72.641037
35.000000	-74.269791
35.125000	-73.686409
35.250000	-75.228210
35.375000	-74.873535
35.500000	-72.344315
35.625000	-79.551720
35.750000	-75.543365
35.875000	-74.077087
36.000000	-74.465004
36.125000	-78.928200
36.250000	-81.608643
36.375000	-76.681770
36.500000	-91.623077
36.625000	-70.622841
36.750000	-67.039871
36.875000	-71.083107
37.000000	-76.457771
37.125000	-83.164268
37.250000	-75.673500
37.375000	-81.576385
37.500000	-74.001762
37.625000	-70.630836
37.750000	-72.509331
37.875000	-74.075333
38.000000	-70.888550
38.125000	-71.668579
38.250000	-74.776115
38.375000	-72.496452
38.500000	-70.418770
38.625000	-74.574509
38.750000	-72.466629
38.875000	-76.964325
39.000000	-77.068237
39.125000	-72.960518
39.250000	-68.074791
39.375000	-71.828461
39.500000	-72.537582
39.625000	-68.462280
39.750000	-68.581573
39.875000	-74.190994
40.000000	-75.420540
40.125000	-74.934631
40.250000	-92.022331
40.375000	-82.147667
40.500000	-76.442673
40.625000	-75.159866
40.750000	-69.980484
40.875000	-68.837692
41.000000	-86.029488
41.125000	-74.639893
41.250000	-72.675415
41.375000	-71.727592
41.500000	-74.336533
41.625000	-78.553040
41.750000	-77.359497
41.875000	-85.897453
42.000000	-77.927818
42.125000	-74.899498
42.250000	-102.087730
42.375000	-70.538193
42.500000	-66.641663
42.625000	-66.107712
42.750000	-72.527252
42.875000	-81.298561
43.000000	-71.427299
43.125000	-69.194221
43.250000	-80.213234
43.375000	-77.357010
43.500000	-78.725502
43.625000	-55.906979
43.750000	-43.374088
43.875000	-43.777821
44.000000	-58.237171
44.125000	-70.844696
44.250000	-72.665710
44.375000	-73.957626
44.500000	-73.424515
44.625000	-72.518250
44.750000	-72.895996
44.875000	-71.124260
45.000000	-80.676552
45.125000	-70.365822
45.250000	-85.113373
45.375000	-73.845833
45.500000	-74.658867
45.625000	-76.279991
45.750000	-76.053856
45.875000	-69.476013
46.000000	-69.294907
46.125000	-71.755486
46.250000	-77.036491
46.375000	-78.281998
46.500000	-77.073906
46.625000	-79.009323
46.750000	-68.948898
46.875000	-69.568596
47.000000	-74.817673
47.125000	-84.699997
47.250000	-71.375893
47.375000	-69.109718
47.500000	-72.737770
47.625000	-86.680672
47.750000	-72.780029
47.875000	-72.316391
48.000000	-70.465546
48.125000	-66.941261
48.250000	-69.289955
48.375000	-79.174965
48.500000	-70.364449
48.625000	-73.429207
48.750000	-73.082718
48.875000	-71.180893
49.000000	-75.301964
49.125000	-75.175797
49.250000	-100.326271
49.375000	-74.531662
49.500000	-71.764885
49.625000	-67.177208
49.750000	-65.672523
49.875000	-67.477669
50.000000	-67.987312
50.125000	-68.640724
50.250000	-67.916794
50.375000	-77.954575
50.500000	-74.085632
50.625000	-72.956924
50.750000	-77.184303
50.875000	-76.779617
51.000000	-71.094467
51.125000	-76.478981
51.250000	-88.406197
51.375000	-89.797234
51.500000	-79.151192
51.625000	-78.883186
51.750000	-72.020149
51.875000	-71.851624
52.000000	-77.621529
52.125000	-87.383850
52.250000	-89.660423
52.375000	-70.810806
52.500000	-66.211723
52.625000	-67.147018
52.750000	-70.992043
52.875000	-65.994095
53.000000	-68.031166
53.125000	-74.131821
53.250000	-70.045006
53.375000	-70.442093
53.500000	-68.864754
53.625000	-71.414680
53.750000	-79.745750
53.875000	-68.933456
54.000000	-72.452332
54.125000	-78.324951
54.250000	-75.332306
54.375000	-70.437500
54.500000	-70.951653
54.625000	-56.894440
54.750000	-48.519039
54.875000	-52.065979
55.000000	-69.535515
55.125000	-76.749405
55.250000	-71.773636
55.375000	-71.544952
55.500000	-77.145988
55.625000	-71.000298
55.750000	-69.413834
55.875000	-69.122292
56.000000	-78.591164
56.125000	-71.102219
56.250000	-81.975929
56.375000	-78.739899
56.500000	-72.675079
56.625000	-70.953049
56.750000	-76.608467
56.875000	-68.639587
57.000000	-76.773750
57.125000	-70.517464
57.250000	-70.454132
57.375000	-70.833496
57.500000	-74.812820
57.625000	-79.075706
57.750000	-67.688957
57.875000	-72.072426
58.000000	-73.722260
58.125000	-76.207787
58.250000	-67.253334
58.375000	-66.392509
58.500000	-66.109062
58.625000	-70.200653
58.750000	-69.033852
58.875000	-66.880653
59.000000	-66.685326
59.125000	-75.586296
59.250000	-77.347221
59.375000	-74.528275
59.500000	-75.397072
59.625000	-72.881073
59.750000	-63.626469
59.875000	-70.387039
60.000000	-78.789658
60.125000	-71.450462
60.250000	-67.247429
60.375000	-71.576607
60.500000	-68.842545
60.625000	-68.500008
60.750000	-70.612976
60.875000	-73.468964
61.000000	-71.631989
61.125000	-76.397575
61.250000	-71.403656
61.375000	-72.288162
61.500000	-69.326691
61.625000	-73.633568
