Frequency (Hz)	Level (dB)
36.250000	-32.055851
36.375000	-30.995173
36.500000	-31.758867
36.625000	-31.604828
36.750000	-31.620180
36.875000	-32.063065
37.000000	-31.306965
37.125000	-31.193079
37.250000	-31.910566
37.375000	-31.580936
37.500000	-32.006653
37.625000	-31.945370
37.750000	-31.095837
37.875000	-32.105164
38.000000	-31.678644
38.125000	-31.766266
38.250000	-32.230324
38.375000	-31.258417
38.500000	-32.041531
38.625000	-32.148228
38.750000	-31.873442
38.875000	-32.182709
39.000000	-31.609747
39.125000	-31.505642
39.250000	-32.333183
39.375000	-31.909637
39.500000	-32.081738
39.625000	-32.225643
39.750000	-31.345428
39.875000	-32.467236
40.000000	-32.203804
40.125000	-32.048588
40.250000	-32.531162
40.375000	-31.559879
40.500000	-32.104931
40.625000	-32.438931
40.750000	-32.043537
40.875000	-32.451836
41.000000	-32.120316
41.125000	-31.744827
41.250000	-32.676044
41.375000	-32.200695
41.500000	-32.241417
41.625000	-32.511593
41.750000	-31.642939
41.875000	-32.722290
42.000000	-32.641975
42.125000	-32.370663
42.250000	-32.810127
42.375000	-31.934622
42.500000	-32.157925
42.625000	-32.676514
42.750000	-32.365677
42.875000	-32.725960
43.000000	-32.644711
43.125000	-31.904821
43.250000	-32.958237
43.375000	-32.504684
43.500000	-32.691555
43.625000	-33.031368
43.750000	-32.022690
43.875000	-32.696098
44.000000	-32.803097
44.125000	-32.677483
44.250000	-33.212955
44.375000	-32.623131
44.500000	-32.285313
44.625000	-33.065796
44.750000	-32.583595
44.875000	-33.128815
45.000000	-33.161388
45.125000	-32.323574
45.250000	-33.140614
45.375000	-32.777977
45.500000	-33.152454
45.625000	-33.699333
45.750000	-32.793594
45.875000	-32.879997
46.000000	-33.061577
46.125000	-32.672787
46.250000	-33.585854
46.375000	-33.402065
46.500000	-32.875961
46.625000	-33.597065
46.750000	-32.754166
46.875000	-33.409214
47.000000	-33.668491
47.125000	-33.115753
47.250000	-33.504189
47.375000	-33.269531
47.500000	-32.991489
47.625000	-33.971897
47.750000	-33.512791
47.875000	-33.477787
48.000000	-33.762375
48.125000	-32.850445
48.250000	-33.723534
48.375000	-33.676197
48.500000	-33.604755
48.625000	-34.186031
48.750000	-33.502914
48.875000	-33.471729
49.000000	-34.142445
49.125000	-33.649254
49.250000	-34.357742
49.375000	-34.203960
49.500000	-33.533504
49.625000	-34.178970
49.750000	-33.725178
49.875000	-34.184265
50.000000	-34.844032
50.125000	-34.093449
50.250000	-34.299427
50.375000	-34.283855
50.500000	-33.894939
50.625000	-34.886425
50.750000	-34.636341
50.875000	-34.520027
51.000000	-35.046894
51.125000	-34.131565
51.250000	-34.832470
51.375000	-34.986168
51.500000	-34.645348
51.625000	-35.188240
51.750000	-34.794003
51.875000	-34.519730
52.000000	-35.423763
52.125000	-34.946350
52.250000	-35.669544
52.375000	-35.869465
52.500000	-35.048397
52.625000	-35.742931
52.750000	-35.398376
52.875000	-35.498127
53.000000	-36.381752
53.125000	-35.880901
53.250000	-35.865177
53.375000	-36.325443
53.500000	-35.574535
53.625000	-36.641209
53.750000	-36.509518
53.875000	-36.415768
54.000000	-37.023716
54.125000	-36.466385
54.250000	-36.565048
54.375000	-37.421112
54.500000	-37.101215
54.625000	-38.071678
54.750000	-37.895889
54.875000	-37.336063
55.000000	-37.938473
55.125000	-37.611950
55.250000	-37.989864
55.375000	-38.872623
55.500000	-38.658157
55.625000	-39.068771
55.750000	-38.957909
55.875000	-38.635700
56.000000	-39.880077
56.125000	-39.843643
56.250000	-40.314007
56.375000	-40.878967
56.500000	-40.247334
56.625000	-40.949223
56.750000	-41.181923
56.875000	-41.130508
57.000000	-42.474403
57.125000	-42.312050
57.250000	-42.443710
57.375000	-43.052601
57.500000	-42.582405
57.625000	-44.010544
57.750000	-44.959988
57.875000	-44.972324
58.000000	-46.442867
58.125000	-45.984688
58.250000	-46.334618
58.375000	-47.291698
58.500000	-47.634518
58.625000	-48.992004
58.750000	-50.519821
58.875000	-51.208466
59.000000	-53.974091
59.125000	-53.557018
59.250000	-54.217045
59.375000	-55.800907
59.500000	-58.663734
59.625000	-62.427803
59.750000	-63.706936
59.875000	-62.301556
60.000000	-59.284039
60.125000	-58.549442
60.250000	-57.014790
60.375000	-55.953651
60.500000	-53.613400
60.625000	-52.385365
60.750000	-51.995815
60.875000	-49.811985
61.000000	-49.596344
61.125000	-48.961403
61.250000	-47.726746
61.375000	-47.733246
61.500000	-46.879055
61.625000	-46.105190
61.750000	-46.539471
61.875000	-44.945240
62.000000	-45.497368
62.125000	-45.134327
62.250000	-44.160141
62.375000	-43.676826
62.500000	-42.896851
62.625000	-42.502148
62.750000	-43.290993
62.875000	-42.264198
63.000000	-42.664776
63.125000	-42.313183
63.250000	-41.314259
63.375000	-41.498924
63.500000	-41.003792
63.625000	-40.681629
63.750000	-41.460522
63.875000	-40.698746
64.000000	-41.045242
64.125000	-40.886787
64.250000	-39.617970
64.375000	-39.941429
64.500000	-39.644302
64.625000	-39.681091
64.750000	-40.239174
64.875000	-39.319275
65.000000	-39.300056
65.125000	-39.562653
65.250000	-38.474140
65.375000	-39.111774
65.500000	-38.950619
65.625000	-38.843140
65.750000	-39.418625
65.875000	-38.586113
66.000000	-38.367832
66.125000	-38.792500
66.250000	-37.771839
66.375000	-38.498852
66.500000	-38.344994
66.625000	-38.041126
66.750000	-38.456867
66.875000	-37.799957
67.000000	-37.494026
67.125000	-38.074230
67.250000	-37.368282
67.375000	-38.288826
67.500000	-38.236778
67.625000	-37.603809
67.750000	-37.925499
67.875000	-37.262848
68.000000	-36.987980
68.125000	-37.702415
68.250000	-37.007408
68.375000	-37.653290
68.500000	-37.661373
68.625000	-37.089523
68.750000	-37.473175
68.875000	-36.846169
69.000000	-36.690716
69.125000	-37.507263
69.250000	-36.958603
69.375000	-37.606873
69.500000	-37.686111
69.625000	-36.839012
69.750000	-37.153954
69.875000	-36.625298
70.000000	-36.507622
70.125000	-37.283813
70.250000	-36.714012
70.375000	-37.070930
70.500000	-37.368259
70.625000	-36.535500
70.750000	-37.099525
70.875000	-36.787586
71.000000	-36.546032
71.125000	-37.295807
71.250000	-36.616974
71.375000	-36.865967
71.500000	-37.197197
71.625000	-36.339149
71.750000	-36.834675
71.875000	-36.590897
72.000000	-36.211376
72.125000	-37.053677
72.250000	-36.551643
72.375000	-36.653763
72.500000	-37.064743
72.625000	-36.271770
72.750000	-36.841614
72.875000	-36.757477
73.000000	-36.329659
73.125000	-37.104137
73.250000	-36.520203
73.375000	-36.545292
73.500000	-36.955349
73.625000	-36.080090
73.750000	-36.478580
73.875000	-36.552170
74.000000	-36.150898
74.125000	-37.090279
74.250000	-36.713390
74.375000	-36.705616
74.500000	-37.086670
74.625000	-36.174622
74.750000	-36.456390
74.875000	-36.581760
75.000000	-36.059933
75.125000	-37.086060
75.250000	-36.789989
75.375000	-36.607727
75.500000	-37.088940
75.625000	-36.146797
75.750000	-36.309814
75.875000	-36.541409
76.000000	-36.112408
76.125000	-37.140263
76.250000	-36.902370
76.375000	-36.743042
76.500000	-37.196705
76.625000	-36.251759
76.750000	-36.336483
76.875000	-36.595764
77.000000	-35.998699
77.125000	-36.956352
77.250000	-36.877037
77.375000	-36.595200
77.500000	-37.139774
77.625000	-36.366493
77.750000	-36.403397
77.875000	-36.795719
78.000000	-36.088081
78.125000	-36.910412
78.250000	-36.850845
78.375000	-36.604568
78.500000	-37.283188
78.625000	-36.639584
78.750000	-36.434856
78.875000	-36.869812
79.000000	-36.044369
79.125000	-36.826992
79.250000	-36.843010
79.375000	-36.610806
79.500000	-37.335114
79.625000	-36.763157
79.750000	-36.541718
79.875000	-37.110439
80.000000	-36.215816
80.125000	-36.865227
80.250000	-36.905083
80.375000	-36.559673
80.500000	-37.264473
80.625000	-36.928917
80.750000	-36.627018
80.875000	-37.139812
81.000000	-36.241749
81.125000	-36.770351
81.250000	-36.965717
81.375000	-36.640747
81.500000	-37.440033
81.625000	-37.141323
81.750000	-36.856873
81.875000	-37.448730
82.000000	-36.544060
82.125000	-36.821045
82.250000	-37.067245
82.375000	-36.537567
82.500000	-37.383938
82.625000	-37.136787
82.750000	-36.889297
82.875000	-37.410080
83.000000	-36.669785
83.125000	-36.772194
83.250000	-37.242348
83.375000	-36.579700
83.500000	-37.503132
83.625000	-37.283829
83.750000	-37.010399
83.875000	-37.546288
84.000000	-36.946152
84.125000	-36.847183
84.250000	-37.362267
84.375000	-36.532883
84.500000	-37.329422
84.625000	-37.244076
84.750000	-37.009495
84.875000	-37.666801
85.000000	-37.195152
85.125000	-37.079014
85.250000	-37.601612
85.375000	-36.749577
85.500000	-37.324947
85.625000	-37.336159
85.750000	-37.006592
85.875000	-37.791725
86.000000	-37.312813
86.125000	-37.185383
86.250000	-37.703846
86.375000	-36.909409
86.500000	-37.282162
86.625000	-37.379925
86.750000	-36.948765
86.875000	-37.913040
87.000000	-37.534618
87.125000	-37.543560
87.250000	-38.053589
87.375000	-37.238136
87.500000	-37.401512
87.625000	-37.640263
87.750000	-36.948433
87.875000	-37.839172
88.000000	-37.479759
88.125000	-37.451614
88.250000	-38.082336
88.375000	-37.482174
88.500000	-37.602097
88.625000	-37.948853
88.750000	-37.110126
88.875000	-37.898983
89.000000	-37.591537
89.125000	-37.482540
89.250000	-38.246101
89.375000	-37.702915
89.500000	-37.784828
89.625000	-38.178970
89.750000	-37.409031
89.875000	-37.886875
90.000000	-37.623161
90.125000	-37.321999
90.250000	-38.144775
90.375000	-37.636387
90.500000	-37.941700
90.625000	-38.452835
90.750000	-37.756367
90.875000	-38.153618
91.000000	-38.020481
91.125000	-37.459839
91.250000	-38.246204
91.375000	-37.668587
91.500000	-37.856449
91.625000	-38.475708
91.750000	-37.895779
91.875000	-38.349693
92.000000	-38.357273
92.125000	-37.677967
92.250000	-38.397099
92.375000	-37.834690
92.500000	-37.836178
92.625000	-38.510811
92.750000	-37.894257
92.875000	-38.457771
93.000000	-38.626350
93.125000	-38.101910
93.250000	-38.742764
93.375000	-38.241268
93.500000	-37.854866
93.625000	-38.460953
93.750000	-37.707058
93.875000	-38.231853
94.000000	-38.653286
94.125000	-38.289837
94.250000	-39.051579
94.375000	-38.709305
94.500000	-38.259605
94.625000	-38.828224
94.750000	-38.030727
94.875000	-38.285915
95.000000	-38.649158
95.125000	-38.076416
95.250000	-38.890980
95.375000	-38.754070
95.500000	-38.502415
95.625000	-39.154263
95.750000	-38.509254
95.875000	-38.506927
96.000000	-38.902390
96.125000	-38.139732
96.250000	-38.839596
96.375000	-38.795578
96.500000	-38.570389
96.625000	-39.442383
96.750000	-38.930393
96.875000	-38.879147
97.000000	-39.264240
97.125000	-38.390282
97.250000	-38.818478
97.375000	-38.777866
97.500000	-38.405170
97.625000	-39.350632
97.750000	-38.932755
97.875000	-39.164028
98.000000	-39.715061
98.125000	-38.950844
98.250000	-39.215294
98.375000	-39.128578
98.500000	-38.487617
98.625000	-39.278328
98.750000	-38.929680
98.875000	-38.920322
99.000000	-39.639000
99.125000	-39.026264
99.250000	-39.538589
99.375000	-39.659676
99.500000	-38.961468
99.625000	-39.585110
99.750000	-39.221008
99.875000	-38.951530
100.000000	-39.667767
100.125000	-39.010208
100.250000	-39.475941
100.375000	-39.871849
100.500000	-39.268414
100.625000	-39.933704
100.750000	-39.600525
100.875000	-39.257603
101.000000	-39.854061
101.125000	-39.106113
101.250000	-39.365986
101.375000	-39.886627
101.500000	-39.211433
101.625000	-40.024956
101.750000	-39.807617
101.875000	-39.552402
102.000000	-40.306107
102.125000	-39.766380
102.250000	-39.667580
