Frequency (Hz)	Level (dB)
0.125000	-31.955997
0.250000	-70.223373
0.375000	-69.390297
0.500000	-74.122925
0.625000	-75.892899
0.750000	-71.985657
0.875000	-64.297989
1.000000	-66.964333
1.125000	-62.710846
1.250000	-63.687351
1.375000	-62.415558
1.500000	-68.386742
1.625000	-63.960960
1.750000	-62.137249
1.875000	-62.879078
2.000000	-70.699402
2.125000	-63.005936
2.250000	-64.703896
2.375000	-67.888855
2.500000	-71.690506
2.625000	-62.358532
2.750000	-60.229774
2.875000	-68.372543
3.000000	-70.893623
3.125000	-64.187019
3.250000	-64.984756
3.375000	-63.887901
3.500000	-64.837135
3.625000	-67.068176
3.750000	-64.834312
3.875000	-64.691277
4.000000	-68.737892
4.125000	-64.672722
4.250000	-70.047829
4.375000	-66.082657
4.500000	-67.333290
4.625000	-71.381859
4.750000	-76.214729
4.875000	-68.479790
5.000000	-65.028328
5.125000	-65.112343
5.250000	-65.421242
5.375000	-68.117798
5.500000	-70.062408
5.625000	-72.466476
5.750000	-68.063477
5.875000	-63.831017
6.000000	-64.693275
6.125000	-66.226936
6.250000	-66.143097
6.375000	-65.942963
6.500000	-69.973228
6.625000	-67.803719
6.750000	-66.057556
6.875000	-65.868073
7.000000	-64.309700
7.125000	-61.309090
7.250000	-58.818268
7.375000	-53.276855
7.500000	-46.790947
7.625000	-38.541119
7.750000	-24.072031
7.875000	-4.234525
8.000000	-1.623354
8.125000	-11.568137
8.250000	-33.123470
8.375000	-43.164906
8.500000	-51.660847
8.625000	-55.459255
8.750000	-61.984657
8.875000	-61.874302
9.000000	-66.064491
9.125000	-67.889847
9.250000	-65.437531
9.375000	-69.540779
9.500000	-72.153282
9.625000	-69.815773
9.750000	-77.427559
9.875000	-83.025795
10.000000	-69.752495
10.125000	-68.511581
10.250000	-66.005234
10.375000	-67.400040
10.500000	-72.440857
10.625000	-73.806808
10.750000	-71.041435
10.875000	-69.857185
11.000000	-65.629951
11.125000	-65.477585
11.250000	-68.867493
11.375000	-75.801414
11.500000	-69.201256
11.625000	-70.619019
11.750000	-72.060181
11.875000	-70.400894
12.000000	-73.150032
12.125000	-70.937294
12.250000	-68.077065
12.375000	-71.076973
12.500000	-67.441833
12.625000	-67.216110
12.750000	-69.317345
12.875000	-67.055527
13.000000	-67.742744
13.125000	-67.205986
13.250000	-66.386421
13.375000	-68.276703
13.500000	-73.174110
13.625000	-69.550278
13.750000	-66.461929
13.875000	-65.682129
14.000000	-71.216339
14.125000	-72.476234
14.250000	-69.049911
14.375000	-67.454399
14.500000	-66.254295
14.625000	-69.843063
14.750000	-67.645592
14.875000	-69.394348
15.000000	-70.639977
15.125000	-67.095474
15.250000	-66.575592
15.375000	-72.700302
15.500000	-78.269760
15.625000	-62.419117
15.750000	-49.323479
15.875000	-36.257130
16.000000	-36.915035
16.125000	-52.804993
16.250000	-63.568455
16.375000	-74.844925
16.500000	-71.520454
16.625000	-68.410225
16.750000	-66.950836
16.875000	-65.631279
17.000000	-66.981743
17.125000	-73.193230
17.250000	-72.656166
17.375000	-72.704468
17.500000	-73.357086
17.625000	-68.189751
17.750000	-68.713882
17.875000	-76.738914
18.000000	-75.672424
18.125000	-73.170601
18.250000	-72.115410
18.375000	-76.550713
18.500000	-75.909439
18.625000	-78.065247
18.750000	-82.607109
18.875000	-74.702652
19.000000	-73.356911
19.125000	-70.318199
19.250000	-70.779655
19.375000	-73.163300
19.500000	-77.304451
19.625000	-73.619339
19.750000	-67.700142
19.875000	-70.160072
20.000000	-67.515846
20.125000	-73.821785
20.250000	-70.108032
20.375000	-69.352783
20.500000	-75.249947
20.625000	-74.657646
20.750000	-69.887169
20.875000	-69.472527
21.000000	-76.814522
21.125000	-73.591537
21.250000	-68.014114
21.375000	-68.422218
21.500000	-72.270248
21.625000	-73.950798
21.750000	-72.225555
21.875000	-72.353340
22.000000	-81.853661
22.125000	-73.744263
22.250000	-73.215485
22.375000	-76.940544
22.500000	-76.859932
22.625000	-72.568817
22.750000	-72.541138
22.875000	-70.582451
23.000000	-71.627235
23.125000	-77.159546
23.250000	-86.288956
23.375000	-72.086502
23.500000	-72.033516
23.625000	-66.881134
23.750000	-46.051098
23.875000	-37.719563
24.000000	-41.659081
24.125000	-67.655731
24.250000	-70.116409
24.375000	-73.507538
24.500000	-67.871323
24.625000	-71.226227
24.750000	-72.929153
24.875000	-75.778236
25.000000	-73.949982
25.125000	-72.342140
25.250000	-72.644287
25.375000	-74.428886
25.500000	-79.799248
25.625000	-78.037216
25.750000	-74.944923
25.875000	-75.010178
26.000000	-77.250221
26.125000	-75.227951
26.250000	-71.882652
26.375000	-73.864563
26.500000	-69.612694
26.625000	-74.237045
26.750000	-72.333565
26.875000	-73.772919
27.000000	-71.839294
27.125000	-71.476906
27.250000	-73.723640
27.375000	-72.949036
27.500000	-72.009453
27.625000	-72.203453
27.750000	-72.954376
27.875000	-71.906075
28.000000	-69.818916
28.125000	-69.022110
28.250000	-73.087250
28.375000	-70.132851
28.500000	-72.269821
28.625000	-69.631592
28.750000	-70.158195
28.875000	-75.807014
29.000000	-83.961578
29.125000	-76.928001
29.250000	-70.170525
29.375000	-69.465958
29.500000	-73.159195
29.625000	-79.812187
29.750000	-72.794968
29.875000	-67.199501
30.000000	-70.012939
30.125000	-71.239418
30.250000	-73.132652
30.375000	-73.241577
30.500000	-72.152199
30.625000	-72.598801
30.750000	-74.843323
30.875000	-73.213791
31.000000	-70.785622
31.125000	-70.150749
31.250000	-72.051018
31.375000	-74.211967
31.500000	-73.953049
31.625000	-71.627365
31.750000	-48.699108
31.875000	-43.824661
32.000000	-51.270992
32.125000	-70.738930
32.250000	-74.156754
32.375000	-73.582657
32.500000	-78.016518
32.625000	-77.839767
32.750000	-71.284424
32.875000	-66.788162
33.000000	-69.624786
33.125000	-79.409973
33.250000	-70.550339
33.375000	-72.224861
33.500000	-71.882484
33.625000	-71.297318
33.750000	-75.762001
33.875000	-78.562462
34.000000	-75.228188
34.125000	-72.922844
34.250000	-74.628082
34.375000	-81.851616
34.500000	-77.937309
34.625000	-75.425133
34.750000	-75.147537
34.875000	-73.396301
35.000000	-72.504539
35.125000	-68.345619
35.250000	-72.396660
35.375000	-73.141823
35.500000	-74.078926
35.625000	-71.271843
35.750000	-72.668915
35.875000	-71.297142
36.000000	-69.926476
36.125000	-68.823883
36.250000	-67.126541
36.375000	-70.564064
