Frequency (Hz)	Level (dB)
0.125000	-31.700724
0.250000	-66.837982
0.375000	-65.629265
0.500000	-70.782036
0.625000	-71.600533
0.750000	-66.456985
0.875000	-69.804741
1.000000	-69.381187
1.125000	-72.128799
1.250000	-77.663116
1.375000	-74.285362
1.500000	-68.914375
1.625000	-72.907982
1.750000	-76.182404
1.875000	-68.375229
2.000000	-72.474876
2.125000	-69.390434
2.250000	-73.376213
2.375000	-71.194374
2.500000	-74.364601
2.625000	-78.592346
2.750000	-60.863621
2.875000	-55.582798
3.000000	-57.260235
3.125000	-69.893829
3.250000	-64.632156
3.375000	-66.950760
3.500000	-59.860123
3.625000	-58.603832
3.750000	-60.301579
3.875000	-63.713589
4.000000	-61.731758
4.125000	-69.661713
4.250000	-62.677387
4.375000	-57.908672
4.500000	-51.646641
4.625000	-43.513474
4.750000	-30.337442
4.875000	-6.100548
5.000000	-2.257269
5.125000	-10.638264
5.250000	-36.233768
5.375000	-46.381737
5.500000	-55.193398
5.625000	-58.173115
5.750000	-72.441422
5.875000	-65.248306
6.000000	-72.452896
6.125000	-64.586113
6.250000	-67.620911
6.375000	-67.799400
6.500000	-67.446854
6.625000	-66.401276
6.750000	-72.050911
6.875000	-71.393417
7.000000	-69.867210
7.125000	-63.383484
7.250000	-64.929443
7.375000	-67.936958
7.500000	-68.739128
7.625000	-65.837639
7.750000	-65.751427
7.875000	-69.474434
8.000000	-73.629135
8.125000	-70.136673
8.250000	-75.294029
8.375000	-68.957458
8.500000	-63.749767
8.625000	-65.370132
8.750000	-69.231918
8.875000	-72.368851
9.000000	-67.658195
9.125000	-68.648239
9.250000	-77.593224
9.375000	-89.038765
9.500000	-80.207558
9.625000	-75.484062
9.750000	-71.856590
9.875000	-56.927650
10.000000	-54.170124
10.125000	-61.435448
10.250000	-65.845703
10.375000	-69.847824
10.500000	-71.851219
10.625000	-72.128197
10.750000	-82.508232
10.875000	-72.159561
11.000000	-77.893730
11.125000	-74.419655
11.250000	-67.366699
11.375000	-66.953094
11.500000	-71.550514
11.625000	-67.610115
11.750000	-65.892670
11.875000	-68.963997
12.000000	-68.152237
12.125000	-69.946136
12.250000	-72.752235
12.375000	-67.132133
12.500000	-73.665321
12.625000	-74.518372
12.750000	-71.353676
12.875000	-65.777199
13.000000	-73.203148
13.125000	-82.596954
13.250000	-84.733772
13.375000	-71.690948
13.500000	-70.671799
13.625000	-75.839638
13.750000	-73.059601
13.875000	-70.962791
14.000000	-69.747841
14.125000	-67.895096
14.250000	-69.486313
14.375000	-70.142067
14.500000	-75.675613
14.625000	-70.734352
14.750000	-65.489204
14.875000	-50.013279
15.000000	-49.967468
15.125000	-64.243721
15.250000	-67.761406
15.375000	-66.454765
15.500000	-69.769135
15.625000	-70.248703
15.750000	-63.847443
15.875000	-66.371147
16.000000	-76.285789
16.125000	-71.931931
16.250000	-67.539581
16.375000	-67.711914
16.500000	-71.165352
16.625000	-74.519058
16.750000	-69.071800
16.875000	-68.545349
17.000000	-70.874817
17.125000	-69.484093
17.250000	-78.184601
17.375000	-73.168533
17.500000	-70.577896
17.625000	-76.668480
17.750000	-75.900421
17.875000	-73.032867
18.000000	-87.103806
18.125000	-81.914185
18.250000	-78.274696
18.375000	-81.673874
18.500000	-75.496056
18.625000	-71.314636
18.750000	-67.131973
18.875000	-75.265518
19.000000	-69.311317
19.125000	-70.920288
19.250000	-80.660088
19.375000	-80.603378
19.500000	-78.354630
19.625000	-72.967438
