Frequency (Hz)	Level (dB)
0.125000	-31.860069
0.250000	-66.080353
0.375000	-66.624542
0.500000	-65.770050
0.625000	-68.406693
0.750000	-80.726967
0.875000	-68.006348
1.000000	-62.809589
1.125000	-69.505478
1.250000	-68.982010
1.375000	-63.884766
1.500000	-67.812302
1.625000	-58.651623
1.750000	-62.753304
1.875000	-68.833817
2.000000	-64.237335
2.125000	-62.708576
2.250000	-66.362488
2.375000	-66.519226
2.500000	-62.566002
2.625000	-74.193138
2.750000	-58.841961
2.875000	-62.320732
3.000000	-60.409470
3.125000	-62.275810
3.250000	-64.205368
3.375000	-64.918076
3.500000	-66.152153
3.625000	-69.943657
3.750000	-70.441277
3.875000	-67.460022
4.000000	-67.354813
4.125000	-70.036545
4.250000	-69.302963
4.375000	-68.146622
4.500000	-74.826065
4.625000	-65.062752
4.750000	-65.758430
4.875000	-65.274498
5.000000	-77.202904
5.125000	-75.409378
5.250000	-69.191536
5.375000	-67.614639
5.500000	-64.714600
5.625000	-63.606537
5.750000	-76.584778
5.875000	-70.217117
6.000000	-72.889992
6.125000	-66.077965
6.250000	-66.513420
6.375000	-70.350136
6.500000	-68.109962
6.625000	-68.885689
6.750000	-66.624138
6.875000	-69.252884
7.000000	-70.665161
7.125000	-66.689384
7.250000	-69.990822
7.375000	-62.015274
7.500000	-63.530006
7.625000	-68.895164
7.750000	-63.449532
7.875000	-61.087002
8.000000	-63.388741
8.125000	-72.447311
8.250000	-66.969398
8.375000	-62.523140
8.500000	-67.839592
8.625000	-73.444778
8.750000	-72.356018
8.875000	-72.609764
9.000000	-68.517967
9.125000	-69.325027
9.250000	-70.257324
9.375000	-71.204849
9.500000	-71.396202
9.625000	-71.221390
9.750000	-76.076942
9.875000	-78.805321
10.000000	-80.657562
10.125000	-72.794220
10.250000	-73.834679
10.375000	-79.890663
10.500000	-73.198662
10.625000	-74.738564
10.750000	-72.825333
10.875000	-70.294609
11.000000	-69.807289
11.125000	-72.125587
11.250000	-75.216278
11.375000	-87.430183
11.500000	-75.408676
11.625000	-68.428902
11.750000	-68.786018
11.875000	-67.739197
12.000000	-74.936928
12.125000	-72.418724
12.250000	-75.296715
12.375000	-81.285515
