Frequency (Hz)	Level (dB)
0.125000	-31.831146
0.250000	-75.627403
0.375000	-70.141083
0.500000	-70.342117
0.625000	-64.470871
0.750000	-65.619278
0.875000	-65.047157
1.000000	-69.365379
1.125000	-82.192307
1.250000	-84.955177
1.375000	-72.657463
1.500000	-64.121574
1.625000	-73.646805
1.750000	-61.907345
1.875000	-63.982082
2.000000	-64.842224
2.125000	-65.615730
2.250000	-65.483932
2.375000	-75.859589
2.500000	-65.189720
2.625000	-64.590416
2.750000	-64.340660
2.875000	-61.095383
3.000000	-62.264729
3.125000	-76.416542
3.250000	-72.005371
3.375000	-81.802025
3.500000	-71.711296
3.625000	-62.054657
3.750000	-62.508831
3.875000	-62.940353
4.000000	-61.494057
4.125000	-64.950188
4.250000	-69.142807
4.375000	-66.934479
4.500000	-67.126793
4.625000	-75.649521
4.750000	-68.284187
4.875000	-66.663391
5.000000	-69.602440
5.125000	-79.295662
5.250000	-71.215797
5.375000	-71.510063
5.500000	-70.508896
5.625000	-73.344292
5.750000	-66.993225
5.875000	-76.729767
6.000000	-65.425194
6.125000	-78.300316
6.250000	-76.386299
6.375000	-78.026604
6.500000	-67.500351
6.625000	-68.468491
6.750000	-72.049042
6.875000	-66.351044
7.000000	-67.012985
7.125000	-70.090919
7.250000	-67.615097
7.375000	-75.793678
7.500000	-79.607224
7.625000	-67.254021
7.750000	-62.486336
7.875000	-64.855835
8.000000	-71.684425
8.125000	-78.316658
8.250000	-76.077148
8.375000	-68.843445
8.500000	-72.439690
8.625000	-77.828064
8.750000	-70.937492
8.875000	-70.126282
9.000000	-86.906258
9.125000	-82.133865
9.250000	-76.258110
9.375000	-74.389618
9.500000	-76.022942
9.625000	-71.192940
9.750000	-75.133621
9.875000	-67.486130
10.000000	-68.528748
10.125000	-77.355087
10.250000	-75.259789
10.375000	-70.482719
10.500000	-71.254044
10.625000	-73.768776
10.750000	-72.845238
10.875000	-79.230339
11.000000	-72.408386
11.125000	-73.088112
11.250000	-67.887657
11.375000	-66.929939
11.500000	-83.810440
11.625000	-67.611603
11.750000	-72.078583
11.875000	-76.295120
12.000000	-76.517715
12.125000	-72.600739
12.250000	-70.366486
12.375000	-67.185349
12.500000	-65.981743
12.625000	-64.597404
12.750000	-69.678299
12.875000	-70.264580
13.000000	-73.588951
13.125000	-71.700996
13.250000	-69.822678
13.375000	-69.668694
13.500000	-75.616631
13.625000	-69.782135
13.750000	-68.278831
13.875000	-66.940788
14.000000	-59.373505
14.125000	-61.839233
14.250000	-54.928219
14.375000	-48.604549
14.500000	-42.522636
14.625000	-32.788956
14.750000	-15.645577
14.875000	-2.030557
15.000000	-2.233944
15.125000	-16.587811
15.250000	-33.225487
15.375000	-42.346504
15.500000	-49.449688
15.625000	-56.225250
15.750000	-57.584587
15.875000	-66.213173
16.000000	-61.304020
16.125000	-71.896896
16.250000	-61.034325
16.375000	-67.076118
16.500000	-65.168335
16.625000	-70.274246
16.750000	-69.323799
16.875000	-63.509212
