Frequency (Hz)	Level (dB)
0.125000	-31.842453
0.250000	-63.539394
0.375000	-59.542431
0.500000	-58.301674
0.625000	-56.374302
0.750000	-54.503498
0.875000	-53.936977
1.000000	-51.751034
1.125000	-50.860180
1.250000	-49.817905
1.375000	-47.135960
1.500000	-46.835220
1.625000	-44.908039
1.750000	-44.330193
1.875000	-43.713913
2.000000	-42.322231
2.125000	-42.292957
2.250000	-41.100273
2.375000	-40.561527
2.500000	-40.496281
2.625000	-39.244278
2.750000	-39.219753
2.875000	-38.988041
3.000000	-37.709293
3.125000	-37.949871
3.250000	-37.118233
3.375000	-36.692852
3.500000	-36.957458
3.625000	-35.931854
3.750000	-35.805008
3.875000	-35.504646
4.000000	-34.706417
4.125000	-34.965183
4.250000	-34.295246
4.375000	-33.974606
4.500000	-34.227486
4.625000	-33.228050
4.750000	-33.510788
4.875000	-33.444683
5.000000	-32.631409
5.125000	-32.981335
5.250000	-32.489693
5.375000	-32.230858
5.500000	-32.615093
5.625000	-31.862185
5.750000	-31.922626
5.875000	-31.916586
6.000000	-31.331350
6.125000	-31.680437
6.250000	-31.227060
6.375000	-31.051270
6.500000	-31.456730
6.625000	-30.907612
6.750000	-31.139744
6.875000	-31.179646
7.000000	-30.691978
7.125000	-31.203968
7.250000	-30.937506
7.375000	-30.866541
7.500000	-31.363087
7.625000	-30.909605
7.750000	-31.159811
7.875000	-31.367313
8.000000	-30.971954
8.125000	-31.543709
8.250000	-31.436069
8.375000	-31.343668
8.500000	-31.982090
8.625000	-31.703087
8.750000	-31.988436
8.875000	-32.386211
9.000000	-32.081642
9.125000	-32.601223
9.250000	-32.616371
9.375000	-32.449081
9.500000	-33.130508
9.625000	-32.794426
9.750000	-32.992146
9.875000	-33.513786
10.000000	-32.948143
10.125000	-33.403828
10.250000	-33.421215
10.375000	-32.897293
10.500000	-33.430038
10.625000	-32.906162
10.750000	-32.707695
10.875000	-33.146507
11.000000	-32.382629
11.125000	-32.507126
11.250000	-32.460941
11.375000	-31.762480
11.500000	-32.198673
11.625000	-31.646481
11.750000	-31.359873
11.875000	-31.806339
12.000000	-31.153976
12.125000	-31.339201
12.250000	-31.374479
12.375000	-30.894402
12.500000	-31.389132
12.625000	-31.052011
12.750000	-31.066200
12.875000	-31.552546
13.000000	-31.073675
13.125000	-31.400335
13.250000	-31.670588
13.375000	-31.403379
13.500000	-32.030022
13.625000	-31.943443
13.750000	-31.938457
13.875000	-32.605034
14.000000	-32.243690
14.125000	-32.522720
14.250000	-32.892868
14.375000	-32.357616
14.500000	-32.879833
14.625000	-32.750904
14.750000	-32.281864
14.875000	-32.798717
15.000000	-32.157234
15.125000	-32.036430
15.250000	-32.322094
15.375000	-31.573563
15.500000	-31.811012
15.625000	-31.602318
15.750000	-31.126015
15.875000	-31.645182
16.000000	-31.098135
16.125000	-31.073816
16.250000	-31.409052
16.375000	-30.838573
16.500000	-31.349703
16.625000	-31.409052
16.750000	-31.174231
16.875000	-31.822098
17.000000	-31.577471
17.125000	-31.763584
17.250000	-32.290897
17.375000	-31.906229
17.500000	-32.414024
17.625000	-32.591724
17.750000	-32.125141
17.875000	-32.760738
18.000000	-32.376972
18.125000	-32.033237
18.250000	-32.461327
18.375000	-31.664179
18.500000	-31.908611
18.625000	-31.972080
18.750000	-31.271490
18.875000	-31.747841
19.000000	-31.358160
19.125000	-31.109303
19.250000	-31.673454
19.375000	-31.153282
19.500000	-31.485432
19.625000	-31.762201
19.750000	-31.423792
19.875000	-32.141247
20.000000	-32.074898
20.125000	-31.991755
20.250000	-32.717411
20.375000	-32.284744
20.500000	-32.412853
20.625000	-32.741894
20.750000	-32.053387
20.875000	-32.395645
21.000000	-32.130951
21.125000	-31.574949
21.250000	-31.996397
21.375000	-31.363543
21.500000	-31.365696
21.625000	-31.646441
21.750000	-31.020561
21.875000	-31.441736
22.000000	-31.404104
22.125000	-31.207235
22.250000	-31.913132
22.375000	-31.653345
22.500000	-31.889027
22.625000	-32.497627
22.750000	-32.035919
22.875000	-32.456165
23.000000	-32.560795
23.125000	-31.996698
23.250000	-32.558022
23.375000	-32.077618
23.500000	-31.793610
23.625000	-32.198994
23.750000	-31.405296
23.875000	-31.576771
24.000000	-31.622583
24.125000	-31.169043
24.250000	-31.797039
24.375000	-31.530411
24.500000	-31.575083
24.625000	-32.231522
24.750000	-31.833591
24.875000	-32.249908
25.000000	-32.528179
25.125000	-32.013279
25.250000	-32.524746
25.375000	-32.219112
25.500000	-31.756882
25.625000	-32.202381
25.750000	-31.484354
25.875000	-31.549356
26.000000	-31.744465
26.125000	-31.127804
26.250000	-31.690340
26.375000	-31.566837
26.500000	-31.453388
26.625000	-32.221405
26.750000	-31.877745
26.875000	-32.180191
27.000000	-32.635826
27.125000	-32.018814
27.250000	-32.461639
27.375000	-32.294823
27.500000	-31.747728
27.625000	-32.237591
27.750000	-31.538998
27.875000	-31.445576
28.000000	-31.835281
28.125000	-31.269009
28.250000	-31.791492
28.375000	-31.883926
28.500000	-31.691235
28.625000	-32.391819
28.750000	-32.069607
28.875000	-32.218460
29.000000	-32.777267
29.125000	-32.097561
29.250000	-32.290180
29.375000	-32.271805
29.500000	-31.531027
29.625000	-32.018551
29.750000	-31.533060
29.875000	-31.400015
30.000000	-31.919794
30.125000	-31.378847
30.250000	-31.955627
30.375000	-32.249134
30.500000	-31.857771
30.625000	-32.588337
30.750000	-32.352886
30.875000	-32.032604
31.000000	-32.544537
31.125000	-31.806622
31.250000	-31.878389
31.375000	-32.036930
31.500000	-31.376661
31.625000	-31.984203
31.750000	-31.789799
31.875000	-31.658651
32.000000	-32.437923
32.125000	-32.037170
32.250000	-32.340168
32.375000	-32.732128
32.500000	-32.039719
32.625000	-32.425285
32.750000	-32.145645
32.875000	-31.603630
33.000000	-32.122509
33.125000	-31.466221
33.250000	-31.650579
33.375000	-32.074017
33.500000	-31.560097
33.625000	-32.255562
33.750000	-32.356022
33.875000	-32.079956
34.000000	-32.725040
34.125000	-32.186920
34.250000	-32.073601
34.375000	-32.459049
34.500000	-31.619209
34.625000	-32.008366
34.750000	-31.975052
34.875000	-31.549948
35.000000	-32.350571
35.125000	-32.056828
35.250000	-32.196167
35.375000	-32.838844
35.500000	-32.196976
35.625000	-32.443470
35.750000	-32.390755
35.875000	-31.638042
36.000000	-32.179474
36.125000	-31.732756
36.250000	-31.604490
36.375000	-32.268070
36.500000	-31.813774
36.625000	-32.334400
36.750000	-32.704079
36.875000	-32.144531
37.000000	-32.785572
37.125000	-32.409702
37.250000	-31.879446
37.375000	-32.430122
37.500000	-31.675192
37.625000	-31.890539
37.750000	-32.211067
37.875000	-31.765064
