Frequency (Hz)	Level (dB)
0.125000	-31.874893
0.250000	-64.625015
0.375000	-65.664200
0.500000	-70.031410
0.625000	-64.162598
0.750000	-71.472267
0.875000	-68.635803
1.000000	-82.860672
1.125000	-68.216064
1.250000	-71.851105
1.375000	-61.600658
1.500000	-62.206463
1.625000	-77.998520
1.750000	-70.412521
1.875000	-66.493637
2.000000	-86.295891
2.125000	-75.454124
2.250000	-67.427567
2.375000	-62.768600
2.500000	-60.538010
2.625000	-59.173134
2.750000	-58.333870
2.875000	-61.983128
3.000000	-64.534081
3.125000	-64.826477
3.250000	-61.910522
3.375000	-68.144905
3.500000	-62.413200
3.625000	-61.016621
3.750000	-68.461777
3.875000	-64.932701
4.000000	-63.147686
4.125000	-57.809071
4.250000	-61.225071
4.375000	-81.291451
4.500000	-68.248741
4.625000	-65.854988
4.750000	-71.031425
4.875000	-65.247559
5.000000	-74.411285
5.125000	-67.230156
5.250000	-70.478699
5.375000	-70.827354
5.500000	-65.803329
5.625000	-65.226089
5.750000	-66.633026
5.875000	-65.752800
6.000000	-73.880058
6.125000	-78.613640
6.250000	-73.261993
6.375000	-73.234032
6.500000	-77.552780
6.625000	-75.321640
6.750000	-70.233627
6.875000	-68.960167
7.000000	-64.960632
7.125000	-69.300591
7.250000	-68.749138
7.375000	-66.005501
7.500000	-68.081535
7.625000	-66.557190
7.750000	-73.804382
7.875000	-82.858353
8.000000	-76.365021
8.125000	-71.440269
8.250000	-86.214233
8.375000	-76.966095
8.500000	-67.464417
8.625000	-72.175217
8.750000	-70.900421
8.875000	-70.804565
9.000000	-69.470505
9.125000	-70.901329
9.250000	-76.854111
9.375000	-71.294876
9.500000	-76.652107
9.625000	-74.006569
9.750000	-76.848572
9.875000	-79.455276
10.000000	-65.711716
10.125000	-63.907104
10.250000	-67.629883
10.375000	-68.737343
10.500000	-65.207047
10.625000	-77.141739
10.750000	-79.478500
10.875000	-74.700928
11.000000	-68.483353
11.125000	-63.946548
11.250000	-65.086975
11.375000	-78.020889
11.500000	-73.827866
11.625000	-77.117874
11.750000	-68.333237
11.875000	-70.346298
12.000000	-72.170883
12.125000	-67.523605
12.250000	-76.005814
12.375000	-69.627701
12.500000	-73.861359
12.625000	-75.165283
12.750000	-75.365517
12.875000	-71.845863
13.000000	-72.536789
13.125000	-71.869995
13.250000	-74.276047
13.375000	-72.235939
13.500000	-69.000084
13.625000	-69.523552
13.750000	-76.230362
13.875000	-81.904312
14.000000	-71.333076
14.125000	-73.209251
14.250000	-79.652107
14.375000	-80.033165
14.500000	-78.707535
14.625000	-84.489685
14.750000	-68.311562
14.875000	-68.852722
15.000000	-85.652084
15.125000	-77.829346
15.250000	-75.505882
15.375000	-69.224632
15.500000	-69.442207
15.625000	-75.277344
15.750000	-78.965698
15.875000	-83.730820
16.000000	-69.681335
16.125000	-76.054863
16.250000	-79.835510
16.375000	-85.408791
16.500000	-84.598389
16.625000	-72.453430
16.750000	-76.909355
16.875000	-75.002075
17.000000	-65.936218
17.125000	-70.389198
17.250000	-72.711159
17.375000	-69.424820
17.500000	-72.412621
17.625000	-91.538582
17.750000	-70.281250
17.875000	-70.953377
18.000000	-80.900795
18.125000	-70.995186
18.250000	-74.202858
18.375000	-74.007172
18.500000	-83.731705
18.625000	-71.685677
18.750000	-73.808044
18.875000	-81.613647
19.000000	-79.289833
19.125000	-74.540108
19.250000	-81.549065
19.375000	-70.309875
19.500000	-73.290771
19.625000	-74.760651
19.750000	-71.128746
19.875000	-73.654755
20.000000	-82.723717
20.125000	-71.866333
20.250000	-65.854248
20.375000	-72.460663
20.500000	-74.914474
20.625000	-81.122040
20.750000	-77.085075
20.875000	-67.865669
21.000000	-66.149010
21.125000	-74.997284
21.250000	-72.068123
21.375000	-71.401535
21.500000	-68.658943
21.625000	-80.137482
21.750000	-71.655258
21.875000	-70.542648
22.000000	-73.907639
22.125000	-78.370605
22.250000	-68.971977
22.375000	-67.358376
22.500000	-65.142715
22.625000	-72.214867
22.750000	-77.602974
22.875000	-65.398399
23.000000	-72.255707
23.125000	-60.609703
23.250000	-59.880070
23.375000	-54.555813
23.500000	-44.755718
23.625000	-34.444805
23.750000	-9.163844
23.875000	-0.787983
24.000000	-4.654325
24.125000	-29.049194
24.250000	-42.269550
24.375000	-49.957691
24.500000	-58.721081
24.625000	-59.356354
24.750000	-69.760857
24.875000	-66.775108
25.000000	-68.329979
25.125000	-66.188553
25.250000	-70.860260
25.375000	-74.668106
25.500000	-78.219612
25.625000	-66.115738
25.750000	-70.965141
25.875000	-72.733093
26.000000	-70.935356
26.125000	-67.974854
26.250000	-68.940216
26.375000	-77.045570
26.500000	-70.812828
26.625000	-71.076317
26.750000	-73.043579
26.875000	-73.845215
27.000000	-75.522659
27.125000	-73.545357
27.250000	-69.858215
27.375000	-83.299561
27.500000	-70.794197
27.625000	-74.342514
27.750000	-77.526917
27.875000	-75.196030
28.000000	-70.355789
28.125000	-74.255287
28.250000	-76.322861
28.375000	-74.563980
28.500000	-78.836121
28.625000	-75.897873
28.750000	-73.148567
28.875000	-69.802780
29.000000	-72.096275
29.125000	-71.917984
29.250000	-67.793510
29.375000	-81.796272
29.500000	-76.381142
29.625000	-76.098328
29.750000	-74.782692
29.875000	-70.232285
30.000000	-68.675087
30.125000	-71.320358
30.250000	-78.309837
30.375000	-83.064590
30.500000	-79.029015
30.625000	-72.083588
30.750000	-70.763855
30.875000	-70.105919
31.000000	-74.100128
31.125000	-75.519722
31.250000	-74.201630
31.375000	-73.583824
31.500000	-74.109253
31.625000	-71.771515
31.750000	-70.029945
31.875000	-72.136414
32.000000	-82.688278
32.125000	-81.012207
32.250000	-93.354622
32.375000	-84.609207
32.500000	-72.940628
32.625000	-73.239075
32.750000	-72.656082
32.875000	-69.453255
33.000000	-74.425026
33.125000	-75.310287
33.250000	-73.113510
33.375000	-75.655960
33.500000	-73.483406
33.625000	-71.792923
33.750000	-71.196083
33.875000	-72.805946
34.000000	-72.388161
34.125000	-71.615662
34.250000	-72.886276
34.375000	-77.779999
34.500000	-70.366524
34.625000	-70.797318
34.750000	-75.779327
34.875000	-85.253693
35.000000	-73.063354
35.125000	-87.367043
35.250000	-82.379951
35.375000	-75.322357
35.500000	-75.779831
35.625000	-70.558289
35.750000	-69.894142
35.875000	-71.958664
36.000000	-83.935135
36.125000	-74.422455
36.250000	-71.554115
36.375000	-79.666634
36.500000	-77.434113
36.625000	-104.775299
36.750000	-79.477600
36.875000	-82.046387
37.000000	-73.517860
37.125000	-69.132401
37.250000	-69.782112
37.375000	-79.291763
37.500000	-69.718994
37.625000	-71.560471
37.750000	-79.807709
37.875000	-78.802261
38.000000	-80.146149
38.125000	-84.284187
38.250000	-77.511116
38.375000	-71.072685
38.500000	-70.050621
38.625000	-77.153786
38.750000	-77.406776
38.875000	-82.912415
39.000000	-78.363853
39.125000	-76.664597
39.250000	-84.670166
39.375000	-74.257050
39.500000	-76.630806
39.625000	-78.446419
39.750000	-72.297615
39.875000	-73.575600
40.000000	-71.470024
40.125000	-70.154602
40.250000	-85.091614
40.375000	-74.697594
40.500000	-76.235161
40.625000	-81.290512
40.750000	-91.837769
40.875000	-75.934265
41.000000	-78.291206
41.125000	-75.497849
41.250000	-70.959480
41.375000	-74.873566
41.500000	-82.634666
41.625000	-71.087906
41.750000	-72.224594
41.875000	-85.145065
42.000000	-79.481346
42.125000	-78.887825
42.250000	-73.622124
42.375000	-70.641075
42.500000	-70.051994
42.625000	-72.581406
42.750000	-77.207840
42.875000	-69.255692
43.000000	-69.200470
43.125000	-74.968613
43.250000	-73.345367
43.375000	-89.710052
43.500000	-69.731377
43.625000	-65.813095
43.750000	-66.739189
43.875000	-76.657387
44.000000	-73.025558
44.125000	-73.888229
44.250000	-76.312027
44.375000	-75.373009
44.500000	-80.542480
44.625000	-75.173523
44.750000	-69.191597
44.875000	-72.079422
45.000000	-78.917648
45.125000	-74.548302
45.250000	-69.997711
45.375000	-71.653488
45.500000	-80.478943
45.625000	-73.749039
45.750000	-74.639565
45.875000	-79.761177
46.000000	-73.349541
46.125000	-72.453720
46.250000	-70.912788
46.375000	-66.424812
46.500000	-66.807709
46.625000	-68.990715
46.750000	-72.064873
46.875000	-69.681023
47.000000	-77.095901
47.125000	-80.916008
47.250000	-83.200150
47.375000	-72.131760
47.500000	-62.532852
47.625000	-44.229832
47.750000	-33.690823
47.875000	-35.559391
48.000000	-51.991943
48.125000	-69.390251
48.250000	-81.991074
48.375000	-70.178009
48.500000	-69.649200
48.625000	-76.920151
48.750000	-76.801682
48.875000	-72.133598
49.000000	-71.489273
49.125000	-72.644753
49.250000	-79.492523
49.375000	-77.916466
49.500000	-76.294388
49.625000	-71.334320
49.750000	-68.501350
49.875000	-70.855186
50.000000	-70.257736
50.125000	-69.361923
50.250000	-69.248306
50.375000	-67.994545
50.500000	-70.993248
50.625000	-71.849182
50.750000	-74.653305
50.875000	-69.662849
51.000000	-75.788605
51.125000	-81.482353
51.250000	-78.555130
51.375000	-70.005592
51.500000	-73.351028
51.625000	-67.421791
51.750000	-71.489044
51.875000	-84.023491
52.000000	-86.549515
52.125000	-74.412682
52.250000	-78.248726
52.375000	-80.364845
52.500000	-73.250298
52.625000	-72.360985
52.750000	-74.509506
52.875000	-68.665009
53.000000	-67.467186
53.125000	-78.245346
53.250000	-73.084793
53.375000	-67.885925
53.500000	-74.590904
53.625000	-73.983620
53.750000	-70.547958
53.875000	-74.903328
54.000000	-70.018173
54.125000	-67.187500
54.250000	-72.972618
54.375000	-82.031891
54.500000	-76.029778
54.625000	-74.139198
54.750000	-82.497978
54.875000	-72.833427
55.000000	-71.636147
55.125000	-80.786842
55.250000	-74.366035
55.375000	-76.135719
55.500000	-72.510590
55.625000	-74.187218
55.750000	-65.535370
55.875000	-64.742096
56.000000	-68.284866
56.125000	-68.392548
56.250000	-71.631096
56.375000	-75.731873
56.500000	-74.014832
56.625000	-73.054657
56.750000	-77.142693
56.875000	-72.992638
57.000000	-73.360611
57.125000	-70.731415
57.250000	-76.005882
57.375000	-79.929024
57.500000	-73.668968
57.625000	-68.649529
57.750000	-77.763870
57.875000	-75.103958
58.000000	-82.860863
58.125000	-79.384842
58.250000	-63.888863
58.375000	-63.010548
58.500000	-64.121071
58.625000	-66.261330
58.750000	-71.340515
58.875000	-68.008949
59.000000	-70.590744
59.125000	-73.091850
59.250000	-70.208107
59.375000	-72.491524
59.500000	-76.178192
59.625000	-62.206104
59.750000	-60.081543
59.875000	-66.018356
60.000000	-71.254181
60.125000	-69.188828
60.250000	-65.678917
60.375000	-71.515343
60.500000	-68.487701
60.625000	-68.251312
60.750000	-69.090073
60.875000	-71.973152
61.000000	-73.156487
61.125000	-73.435730
61.250000	-62.213120
61.375000	-63.961891
61.500000	-70.662193
61.625000	-68.920265
61.750000	-67.272713
61.875000	-88.753311
62.000000	-76.385460
62.125000	-77.277809
62.250000	-76.460960
62.375000	-69.754356
62.500000	-79.394821
62.625000	-73.245857
62.750000	-72.581223
62.875000	-81.224480
63.000000	-77.598465
63.125000	-66.402855
63.250000	-63.224213
63.375000	-69.058937
63.500000	-77.016937
63.625000	-83.078278
63.750000	-76.244270
63.875000	-67.136971
